vt_group,a,b,financial_achievement,incentive_target,salary_mean,salary_sum,incentive_mean,incentive_sum
38,19.0,40.0,59.0,10,61716387.09677419,13392456000,3641266.8387096776,790154904.0
38,19.0,40.0,59.0,15,61716387.09677419,13392456000,5461900.258064516,1185232356.0
39,19.5,40.0,59.5,5,61716387.09677419,13392456000,1836062.5161290322,398425566.0
39,19.5,40.0,59.5,10,61716387.09677419,13392456000,3672125.0322580645,796851132.0
39,19.5,40.0,59.5,15,61716387.09677419,13392456000,5508187.548387097,1195276698.0
40,20.0,40.0,60.0,5,61716387.09677419,13392456000,1851491.6129032257,401773680.0
40,20.0,40.0,60.0,10,61716387.09677419,13392456000,3702983.2258064514,803547360.0
40,20.0,40.0,60.0,15,61716387.09677419,13392456000,5554474.838709678,1205321040.0
41,20.5,40.0,60.5,5,61716387.09677419,13392456000,1866920.7096774194,405121794.0
41,20.5,40.0,60.5,10,61716387.09677419,13392456000,3733841.419354839,810243588.0
41,20.5,40.0,60.5,15,61716387.09677419,13392456000,5600762.129032258,1215365382.0
42,21.0,40.0,61.0,5,61716387.09677419,13392456000,1882349.8064516129,408469908.0
42,21.0,40.0,61.0,10,61716387.09677419,13392456000,3764699.6129032257,816939816.0
42,21.0,40.0,61.0,15,61716387.09677419,13392456000,5647049.419354838,1225409724.0
43,21.5,40.0,61.5,5,61716387.09677419,13392456000,1897778.9032258065,411818022.0
43,21.5,40.0,61.5,10,61716387.09677419,13392456000,3795557.806451613,823636044.0
43,21.5,40.0,61.5,15,61716387.09677419,13392456000,5693336.70967742,1235454066.0
44,22.0,40.0,62.0,5,61716387.09677419,13392456000,1913208.0,415166136.0
44,22.0,40.0,62.0,10,61716387.09677419,13392456000,3826416.0,830332272.0
44,22.0,40.0,62.0,15,61716387.09677419,13392456000,5739624.0,1245498408.0
45,22.5,40.0,62.5,5,61716387.09677419,13392456000,1928637.0967741935,418514250.0
45,22.5,40.0,62.5,10,61716387.09677419,13392456000,3857274.193548387,837028500.0
45,22.5,40.0,62.5,15,61716387.09677419,13392456000,5785911.29032258,1255542750.0
46,23.0,40.0,63.0,5,61716387.09677419,13392456000,1944066.1935483871,421862364.0
46,23.0,40.0,63.0,10,61716387.09677419,13392456000,3888132.3870967743,843724728.0
46,23.0,40.0,63.0,15,61716387.09677419,13392456000,5832198.580645162,1265587092.0
47,23.5,40.0,63.5,5,61716387.09677419,13392456000,1959495.2903225806,425210478.0
47,23.5,40.0,63.5,10,61716387.09677419,13392456000,3918990.580645161,850420956.0
47,23.5,40.0,63.5,15,61716387.09677419,13392456000,5878485.870967742,1275631434.0
48,24.0,40.0,64.0,5,61716387.09677419,13392456000,1974924.3870967743,428558592.0
48,24.0,40.0,64.0,10,61716387.09677419,13392456000,3949848.7741935486,857117184.0
48,24.0,40.0,64.0,15,61716387.09677419,13392456000,5924773.161290322,1285675776.0
49,24.5,40.0,64.5,5,61716387.09677419,13392456000,1990353.4838709678,431906706.0
49,24.5,40.0,64.5,10,61716387.09677419,13392456000,3980706.9677419355,863813412.0
49,24.5,40.0,64.5,15,61716387.09677419,13392456000,5971060.451612903,1295720118.0
50,25.0,50.0,75.0,5,61716387.09677419,13392456000,2314364.5161290322,502217100.0
50,25.0,50.0,75.0,10,61716387.09677419,13392456000,4628729.0322580645,1004434200.0
50,25.0,50.0,75.0,15,61716387.09677419,13392456000,6943093.548387097,1506651300.0
51,25.5,50.0,75.5,5,61716387.09677419,13392456000,2329793.6129032257,505565214.0
51,25.5,50.0,75.5,10,61716387.09677419,13392456000,4659587.225806451,1011130428.0
51,25.5,50.0,75.5,15,61716387.09677419,13392456000,6989380.838709678,1516695642.0
52,26.0,50.0,76.0,5,61716387.09677419,13392456000,2345222.709677419,508913328.0
52,26.0,50.0,76.0,10,61716387.09677419,13392456000,4690445.419354838,1017826656.0
52,26.0,50.0,76.0,15,61716387.09677419,13392456000,7035668.129032258,1526739984.0
53,26.5,50.0,76.5,5,61716387.09677419,13392456000,2360651.806451613,512261442.0
53,26.5,50.0,76.5,10,61716387.09677419,13392456000,4721303.612903226,1024522884.0
53,26.5,50.0,76.5,15,61716387.09677419,13392456000,7081955.419354838,1536784326.0
54,27.0,50.0,77.0,5,61716387.09677419,13392456000,2376080.9032258065,515609556.0
54,27.0,50.0,77.0,10,61716387.09677419,13392456000,4752161.806451613,1031219112.0
54,27.0,50.0,77.0,15,61716387.09677419,13392456000,7128242.70967742,1546828668.0
55,27.5,50.0,77.5,5,61716387.09677419,13392456000,2391510.0,518957670.0
55,27.5,50.0,77.5,10,61716387.09677419,13392456000,4783020.0,1037915340.0
55,27.5,50.0,77.5,15,61716387.09677419,13392456000,7174530.0,1556873010.0
56,28.0,50.0,78.0,5,61716387.09677419,13392456000,2406939.0967741935,522305784.0
56,28.0,50.0,78.0,10,61716387.09677419,13392456000,4813878.193548387,1044611568.0
56,28.0,50.0,78.0,15,61716387.09677419,13392456000,7220817.29032258,1566917352.0
57,28.5,50.0,78.5,5,61716387.09677419,13392456000,2422368.193548387,525653898.0
57,28.5,50.0,78.5,10,61716387.09677419,13392456000,4844736.387096774,1051307796.0
57,28.5,50.0,78.5,15,61716387.09677419,13392456000,7267104.580645162,1576961694.0
58,29.0,50.0,79.0,5,61716387.09677419,13392456000,2437797.290322581,529002012.0
58,29.0,50.0,79.0,10,61716387.09677419,13392456000,4875594.580645162,1058004024.0
58,29.0,50.0,79.0,15,61716387.09677419,13392456000,7313391.870967742,1587006036.0
59,29.5,50.0,79.5,5,61716387.09677419,13392456000,2453226.3870967743,532350126.0
59,29.5,50.0,79.5,10,61716387.09677419,13392456000,4906452.774193549,1064700252.0
59,29.5,50.0,79.5,15,61716387.09677419,13392456000,7359679.161290322,1597050378.0
60,30.0,50.0,80.0,5,61716387.09677419,13392456000,2468655.4838709678,535698240.0
60,30.0,50.0,80.0,10,61716387.09677419,13392456000,4937310.9677419355,1071396480.0
60,30.0,50.0,80.0,15,61716387.09677419,13392456000,7405966.451612903,1607094720.0
61,30.5,50.0,80.5,5,61716387.09677419,13392456000,2484084.580645161,539046354.0
61,30.5,50.0,80.5,10,61716387.09677419,13392456000,4968169.161290322,1078092708.0
61,30.5,50.0,80.5,15,61716387.09677419,13392456000,7452253.741935484,1617139062.0
62,31.0,50.0,81.0,5,61716387.09677419,13392456000,2499513.6774193547,542394468.0
62,31.0,50.0,81.0,10,61716387.09677419,13392456000,4999027.354838709,1084788936.0
62,31.0,50.0,81.0,15,61716387.09677419,13392456000,7498541.0322580645,1627183404.0
63,31.5,50.0,81.5,5,61716387.09677419,13392456000,2514942.7741935486,545742582.0
63,31.5,50.0,81.5,10,61716387.09677419,13392456000,5029885.548387097,1091485164.0
63,31.5,50.0,81.5,15,61716387.09677419,13392456000,7544828.322580645,1637227746.0
64,32.0,50.0,82.0,5,61716387.09677419,13392456000,2530371.870967742,549090696.0
64,32.0,50.0,82.0,10,61716387.09677419,13392456000,5060743.741935484,1098181392.0
64,32.0,50.0,82.0,15,61716387.09677419,13392456000,7591115.612903226,1647272088.0
65,32.5,50.0,82.5,5,61716387.09677419,13392456000,2545800.9677419355,552438810.0
65,32.5,50.0,82.5,10,61716387.09677419,13392456000,5091601.935483871,1104877620.0
65,32.5,50.0,82.5,15,61716387.09677419,13392456000,7637402.903225807,1657316430.0
66,33.0,50.0,83.0,5,61716387.09677419,13392456000,2561230.064516129,555786924.0
66,33.0,50.0,83.0,10,61716387.09677419,13392456000,5122460.129032258,1111573848.0
66,33.0,50.0,83.0,15,61716387.09677419,13392456000,7683690.193548387,1667360772.0
67,33.5,50.0,83.5,5,61716387.09677419,13392456000,2576659.1612903224,559135038.0
67,33.5,50.0,83.5,10,61716387.09677419,13392456000,5153318.322580645,1118270076.0
67,33.5,50.0,83.5,15,61716387.09677419,13392456000,7729977.483870967,1677405114.0
68,34.0,50.0,84.0,5,61716387.09677419,13392456000,2592088.2580645164,562483152.0
68,34.0,50.0,84.0,10,61716387.09677419,13392456000,5184176.516129033,1124966304.0
68,34.0,50.0,84.0,15,61716387.09677419,13392456000,7776264.774193549,1687449456.0
69,34.5,50.0,84.5,5,61716387.09677419,13392456000,2607517.35483871,565831266.0
69,34.5,50.0,84.5,10,61716387.09677419,13392456000,5215034.70967742,1131662532.0
69,34.5,50.0,84.5,15,61716387.09677419,13392456000,7822552.064516129,1697493798.0
70,35.0,50.0,85.0,5,61716387.09677419,13392456000,2622946.4516129033,569179380.0
70,35.0,50.0,85.0,10,61716387.09677419,13392456000,5245892.903225807,1138358760.0
70,35.0,50.0,85.0,15,61716387.09677419,13392456000,7868839.354838709,1707538140.0
71,35.5,50.0,85.5,5,61716387.09677419,13392456000,2638375.5483870967,572527494.0
71,35.5,50.0,85.5,10,61716387.09677419,13392456000,5276751.096774193,1145054988.0
71,35.5,50.0,85.5,15,61716387.09677419,13392456000,7915126.645161291,1717582482.0
72,36.0,50.0,86.0,5,61716387.09677419,13392456000,2653804.64516129,575875608.0
72,36.0,50.0,86.0,10,61716387.09677419,13392456000,5307609.29032258,1151751216.0
72,36.0,50.0,86.0,15,61716387.09677419,13392456000,7961413.935483871,1727626824.0
73,36.5,50.0,86.5,5,61716387.09677419,13392456000,2669233.7419354836,579223722.0
73,36.5,50.0,86.5,10,61716387.09677419,13392456000,5338467.483870967,1158447444.0
73,36.5,50.0,86.5,15,61716387.09677419,13392456000,8007701.225806451,1737671166.0
74,37.0,50.0,87.0,5,61716387.09677419,13392456000,2684662.8387096776,582571836.0
74,37.0,50.0,87.0,10,61716387.09677419,13392456000,5369325.677419355,1165143672.0
74,37.0,50.0,87.0,15,61716387.09677419,13392456000,8053988.516129033,1747715508.0
75,37.5,50.0,87.5,5,61716387.09677419,13392456000,2700091.935483871,585919950.0
75,37.5,50.0,87.5,10,61716387.09677419,13392456000,5400183.870967742,1171839900.0
75,37.5,50.0,87.5,15,61716387.09677419,13392456000,8100275.806451613,1757759850.0
76,38.0,50.0,88.0,5,61716387.09677419,13392456000,2715521.0322580645,589268064.0
76,38.0,50.0,88.0,10,61716387.09677419,13392456000,5431042.064516129,1178536128.0
76,38.0,50.0,88.0,15,61716387.09677419,13392456000,8146563.096774193,1767804192.0
77,38.5,50.0,88.5,5,61716387.09677419,13392456000,2730950.129032258,592616178.0
77,38.5,50.0,88.5,10,61716387.09677419,13392456000,5461900.258064516,1185232356.0
77,38.5,50.0,88.5,15,61716387.09677419,13392456000,8192850.387096774,1777848534.0
78,39.0,50.0,89.0,5,61716387.09677419,13392456000,2746379.2258064514,595964292.0
78,39.0,50.0,89.0,10,61716387.09677419,13392456000,5492758.451612903,1191928584.0
78,39.0,50.0,89.0,15,61716387.09677419,13392456000,8239137.677419355,1787892876.0
79,39.5,50.0,89.5,5,61716387.09677419,13392456000,2761808.3225806453,599312406.0
79,39.5,50.0,89.5,10,61716387.09677419,13392456000,5523616.645161291,1198624812.0
79,39.5,50.0,89.5,15,61716387.09677419,13392456000,8285424.9677419355,1797937218.0
80,40.0,50.0,90.0,5,61716387.09677419,13392456000,2777237.419354839,602660520.0
80,40.0,50.0,90.0,10,61716387.09677419,13392456000,5554474.838709678,1205321040.0
80,40.0,50.0,90.0,15,61716387.09677419,13392456000,8331712.258064516,1807981560.0
81,40.5,50.0,90.5,5,61716387.09677419,13392456000,2792666.5161290322,606008634.0
81,40.5,50.0,90.5,10,61716387.09677419,13392456000,5585333.0322580645,1212017268.0
81,40.5,50.0,90.5,15,61716387.09677419,13392456000,8377999.548387097,1818025902.0
82,41.0,50.0,91.0,5,61716387.09677419,13392456000,2808095.6129032257,609356748.0
82,41.0,50.0,91.0,10,61716387.09677419,13392456000,5616191.225806451,1218713496.0
82,41.0,50.0,91.0,15,61716387.09677419,13392456000,8424286.838709677,1828070244.0
83,41.5,50.0,91.5,5,61716387.09677419,13392456000,2823524.709677419,612704862.0
83,41.5,50.0,91.5,10,61716387.09677419,13392456000,5647049.419354838,1225409724.0
83,41.5,50.0,91.5,15,61716387.09677419,13392456000,8470574.129032258,1838114586.0
84,42.0,50.0,92.0,5,61716387.09677419,13392456000,2838953.806451613,616052976.0
84,42.0,50.0,92.0,10,61716387.09677419,13392456000,5677907.612903226,1232105952.0
84,42.0,50.0,92.0,15,61716387.09677419,13392456000,8516861.41935484,1848158928.0
85,42.5,60.0,102.5,5,61716387.09677419,13392456000,3162964.8387096776,686363370.0
85,42.5,60.0,102.5,10,61716387.09677419,13392456000,6325929.677419355,1372726740.0
85,42.5,60.0,102.5,15,61716387.09677419,13392456000,9488894.516129032,2059090110.0
86,43.0,60.0,103.0,5,61716387.09677419,13392456000,3178393.935483871,689711484.0
86,43.0,60.0,103.0,10,61716387.09677419,13392456000,6356787.870967742,1379422968.0
86,43.0,60.0,103.0,15,61716387.09677419,13392456000,9535181.806451613,2069134452.0
87,43.5,60.0,103.5,5,61716387.09677419,13392456000,3193823.0322580645,693059598.0
87,43.5,60.0,103.5,10,61716387.09677419,13392456000,6387646.064516129,1386119196.0
87,43.5,60.0,103.5,15,61716387.09677419,13392456000,9581469.096774194,2079178794.0
88,44.0,60.0,104.0,5,61716387.09677419,13392456000,3209252.129032258,696407712.0
88,44.0,60.0,104.0,10,61716387.09677419,13392456000,6418504.258064516,1392815424.0
88,44.0,60.0,104.0,15,61716387.09677419,13392456000,9627756.387096774,2089223136.0
89,44.5,60.0,104.5,5,61716387.09677419,13392456000,3224681.2258064514,699755826.0
89,44.5,60.0,104.5,10,61716387.09677419,13392456000,6449362.451612903,1399511652.0
89,44.5,60.0,104.5,15,61716387.09677419,13392456000,9674043.677419355,2099267478.0
90,45.0,60.0,105.0,5,61716387.09677419,13392456000,3240110.3225806453,703103940.0
90,45.0,60.0,105.0,10,61716387.09677419,13392456000,6480220.645161291,1406207880.0
90,45.0,60.0,105.0,15,61716387.09677419,13392456000,9720330.967741935,2109311820.0
91,45.5,60.0,105.5,5,61716387.09677419,13392456000,3255539.419354839,706452054.0
91,45.5,60.0,105.5,10,61716387.09677419,13392456000,6511078.838709678,1412904108.0
91,45.5,60.0,105.5,15,61716387.09677419,13392456000,9766618.258064516,2119356162.0
92,46.0,60.0,106.0,5,61716387.09677419,13392456000,3270968.5161290322,709800168.0
92,46.0,60.0,106.0,10,61716387.09677419,13392456000,6541937.0322580645,1419600336.0
92,46.0,60.0,106.0,15,61716387.09677419,13392456000,9812905.548387097,2129400504.0
93,46.5,60.0,106.5,5,61716387.09677419,13392456000,3286397.6129032257,713148282.0
93,46.5,60.0,106.5,10,61716387.09677419,13392456000,6572795.225806451,1426296564.0
93,46.5,60.0,106.5,15,61716387.09677419,13392456000,9859192.838709677,2139444846.0
94,47.0,60.0,107.0,5,61716387.09677419,13392456000,3301826.709677419,716496396.0
94,47.0,60.0,107.0,10,61716387.09677419,13392456000,6603653.419354838,1432992792.0
94,47.0,60.0,107.0,15,61716387.09677419,13392456000,9905480.129032258,2149489188.0
95,47.5,60.0,107.5,5,61716387.09677419,13392456000,3317255.806451613,719844510.0
95,47.5,60.0,107.5,10,61716387.09677419,13392456000,6634511.612903226,1439689020.0
95,47.5,60.0,107.5,15,61716387.09677419,13392456000,9951767.41935484,2159533530.0
96,48.0,60.0,108.0,5,61716387.09677419,13392456000,3332684.9032258065,723192624.0
96,48.0,60.0,108.0,10,61716387.09677419,13392456000,6665369.806451613,1446385248.0
96,48.0,60.0,108.0,15,61716387.09677419,13392456000,9998054.709677419,2169577872.0
97,48.5,60.0,108.5,5,61716387.09677419,13392456000,3348114.0,726540738.0
97,48.5,60.0,108.5,10,61716387.09677419,13392456000,6696228.0,1453081476.0
97,48.5,60.0,108.5,15,61716387.09677419,13392456000,10044342.0,2179622214.0
98,49.0,60.0,109.0,5,61716387.09677419,13392456000,3363543.0967741935,729888852.0
98,49.0,60.0,109.0,10,61716387.09677419,13392456000,6727086.193548387,1459777704.0
98,49.0,60.0,109.0,15,61716387.09677419,13392456000,10090629.290322581,2189666556.0
99,49.5,60.0,109.5,5,61716387.09677419,13392456000,3378972.193548387,733236966.0
99,49.5,60.0,109.5,10,61716387.09677419,13392456000,6757944.387096774,1466473932.0
99,49.5,60.0,109.5,15,61716387.09677419,13392456000,10136916.58064516,2199710898.0
100,50.0,60.0,110.0,5,61716387.09677419,13392456000,3394401.290322581,736585080.0
100,50.0,60.0,110.0,10,61716387.09677419,13392456000,6788802.580645162,1473170160.0
100,50.0,60.0,110.0,15,61716387.09677419,13392456000,10183203.870967742,2209755240.0
101,50.5,60.0,110.5,5,61716387.09677419,13392456000,3409830.3870967743,739933194.0
101,50.5,60.0,110.5,10,61716387.09677419,13392456000,6819660.774193549,1479866388.0
101,50.5,60.0,110.5,15,61716387.09677419,13392456000,10229491.161290323,2219799582.0
102,51.0,60.0,111.0,5,61716387.09677419,13392456000,3425259.4838709678,743281308.0
102,51.0,60.0,111.0,10,61716387.09677419,13392456000,6850518.9677419355,1486562616.0
102,51.0,60.0,111.0,15,61716387.09677419,13392456000,10275778.451612903,2229843924.0
103,51.5,60.0,111.5,5,61716387.09677419,13392456000,3440688.580645161,746629422.0
103,51.5,60.0,111.5,10,61716387.09677419,13392456000,6881377.161290322,1493258844.0
103,51.5,60.0,111.5,15,61716387.09677419,13392456000,10322065.741935484,2239888266.0
104,52.0,60.0,112.0,5,61716387.09677419,13392456000,3456117.6774193547,749977536.0
104,52.0,60.0,112.0,10,61716387.09677419,13392456000,6912235.354838709,1499955072.0
104,52.0,60.0,112.0,15,61716387.09677419,13392456000,10368353.032258065,2249932608.0
105,52.5,60.0,112.5,5,61716387.09677419,13392456000,3471546.7741935486,753325650.0
105,52.5,60.0,112.5,10,61716387.09677419,13392456000,6943093.548387097,1506651300.0
