vt_group,a,b,financial_achievement,incentive_target,salary_mean,salary_sum,incentive_mean,incentive_sum
0,0.0,40.0,40.0,5,61716387.09677419,13392456000,1234327.7419354839,267849120.0
0,0.0,40.0,40.0,10,61716387.09677419,13392456000,2468655.4838709678,535698240.0
0,0.0,40.0,40.0,15,61716387.09677419,13392456000,3702983.2258064514,803547360.0
1,0.5,40.0,40.5,5,61716387.09677419,13392456000,1249756.8387096773,271197234.0
1,0.5,40.0,40.5,10,61716387.09677419,13392456000,2499513.6774193547,542394468.0
1,0.5,40.0,40.5,15,61716387.09677419,13392456000,3749270.5161290322,813591702.0
2,1.0,40.0,41.0,5,61716387.09677419,13392456000,1265185.935483871,274545348.0
2,1.0,40.0,41.0,10,61716387.09677419,13392456000,2530371.870967742,549090696.0
2,1.0,40.0,41.0,15,61716387.09677419,13392456000,3795557.806451613,823636044.0
3,1.5,40.0,41.5,5,61716387.09677419,13392456000,1280615.0322580645,277893462.0
3,1.5,40.0,41.5,10,61716387.09677419,13392456000,2561230.064516129,555786924.0
3,1.5,40.0,41.5,15,61716387.09677419,13392456000,3841845.0967741935,833680386.0
4,2.0,40.0,42.0,5,61716387.09677419,13392456000,1296044.1290322582,281241576.0
4,2.0,40.0,42.0,10,61716387.09677419,13392456000,2592088.2580645164,562483152.0
4,2.0,40.0,42.0,15,61716387.09677419,13392456000,3888132.3870967743,843724728.0
5,2.5,40.0,42.5,5,61716387.09677419,13392456000,1311473.2258064516,284589690.0
5,2.5,40.0,42.5,10,61716387.09677419,13392456000,2622946.4516129033,569179380.0
5,2.5,40.0,42.5,15,61716387.09677419,13392456000,3934419.6774193547,853769070.0
6,3.0,40.0,43.0,5,61716387.09677419,13392456000,1326902.322580645,287937804.0
6,3.0,40.0,43.0,10,61716387.09677419,13392456000,2653804.64516129,575875608.0
6,3.0,40.0,43.0,15,61716387.09677419,13392456000,3980706.9677419355,863813412.0
7,3.5,40.0,43.5,5,61716387.09677419,13392456000,1342331.4193548388,291285918.0
7,3.5,40.0,43.5,10,61716387.09677419,13392456000,2684662.8387096776,582571836.0
7,3.5,40.0,43.5,15,61716387.09677419,13392456000,4026994.2580645164,873857754.0
8,4.0,40.0,44.0,5,61716387.09677419,13392456000,1357760.5161290322,294634032.0
8,4.0,40.0,44.0,10,61716387.09677419,13392456000,2715521.0322580645,589268064.0
8,4.0,40.0,44.0,15,61716387.09677419,13392456000,4073281.5483870967,883902096.0
9,4.5,40.0,44.5,5,61716387.09677419,13392456000,1373189.6129032257,297982146.0
9,4.5,40.0,44.5,10,61716387.09677419,13392456000,2746379.2258064514,595964292.0
9,4.5,40.0,44.5,15,61716387.09677419,13392456000,4119568.8387096776,893946438.0
10,5.0,40.0,45.0,5,61716387.09677419,13392456000,1388618.7096774194,301330260.0
10,5.0,40.0,45.0,10,61716387.09677419,13392456000,2777237.419354839,602660520.0
10,5.0,40.0,45.0,15,61716387.09677419,13392456000,4165856.129032258,903990780.0
11,5.5,40.0,45.5,5,61716387.09677419,13392456000,1404047.8064516129,304678374.0
11,5.5,40.0,45.5,10,61716387.09677419,13392456000,2808095.6129032257,609356748.0
11,5.5,40.0,45.5,15,61716387.09677419,13392456000,4212143.419354838,914035122.0
12,6.0,40.0,46.0,5,61716387.09677419,13392456000,1419476.9032258065,308026488.0
12,6.0,40.0,46.0,10,61716387.09677419,13392456000,2838953.806451613,616052976.0
12,6.0,40.0,46.0,15,61716387.09677419,13392456000,4258430.70967742,924079464.0
13,6.5,40.0,46.5,5,61716387.09677419,13392456000,1434906.0,311374602.0
13,6.5,40.0,46.5,10,61716387.09677419,13392456000,2869812.0,622749204.0
13,6.5,40.0,46.5,15,61716387.09677419,13392456000,4304718.0,934123806.0
14,7.0,40.0,47.0,5,61716387.09677419,13392456000,1450335.0967741935,314722716.0
14,7.0,40.0,47.0,10,61716387.09677419,13392456000,2900670.193548387,629445432.0
14,7.0,40.0,47.0,15,61716387.09677419,13392456000,4351005.29032258,944168148.0
15,7.5,40.0,47.5,5,61716387.09677419,13392456000,1465764.1935483871,318070830.0
15,7.5,40.0,47.5,10,61716387.09677419,13392456000,2931528.3870967743,636141660.0
15,7.5,40.0,47.5,15,61716387.09677419,13392456000,4397292.580645162,954212490.0
16,8.0,40.0,48.0,5,61716387.09677419,13392456000,1481193.2903225806,321418944.0
16,8.0,40.0,48.0,10,61716387.09677419,13392456000,2962386.580645161,642837888.0
16,8.0,40.0,48.0,15,61716387.09677419,13392456000,4443579.870967742,964256832.0
17,8.5,40.0,48.5,5,61716387.09677419,13392456000,1496622.3870967743,324767058.0
17,8.5,40.0,48.5,10,61716387.09677419,13392456000,2993244.7741935486,649534116.0
17,8.5,40.0,48.5,15,61716387.09677419,13392456000,4489867.161290322,974301174.0
18,9.0,40.0,49.0,5,61716387.09677419,13392456000,1512051.4838709678,328115172.0
18,9.0,40.0,49.0,10,61716387.09677419,13392456000,3024102.9677419355,656230344.0
18,9.0,40.0,49.0,15,61716387.09677419,13392456000,4536154.451612903,984345516.0
19,9.5,40.0,49.5,5,61716387.09677419,13392456000,1527480.5806451612,331463286.0
19,9.5,40.0,49.5,10,61716387.09677419,13392456000,3054961.1612903224,662926572.0
19,9.5,40.0,49.5,15,61716387.09677419,13392456000,4582441.741935484,994389858.0
20,10.0,40.0,50.0,5,61716387.09677419,13392456000,1542909.677419355,334811400.0
20,10.0,40.0,50.0,10,61716387.09677419,13392456000,3085819.35483871,669622800.0
20,10.0,40.0,50.0,15,61716387.09677419,13392456000,4628729.0322580645,1004434200.0
21,10.5,40.0,50.5,5,61716387.09677419,13392456000,1558338.7741935484,338159514.0
21,10.5,40.0,50.5,10,61716387.09677419,13392456000,3116677.5483870967,676319028.0
21,10.5,40.0,50.5,15,61716387.09677419,13392456000,4675016.322580645,1014478542.0
22,11.0,40.0,51.0,5,61716387.09677419,13392456000,1573767.8709677418,341507628.0
22,11.0,40.0,51.0,10,61716387.09677419,13392456000,3147535.7419354836,683015256.0
22,11.0,40.0,51.0,15,61716387.09677419,13392456000,4721303.612903226,1024522884.0
23,11.5,40.0,51.5,5,61716387.09677419,13392456000,1589196.9677419355,344855742.0
23,11.5,40.0,51.5,10,61716387.09677419,13392456000,3178393.935483871,689711484.0
23,11.5,40.0,51.5,15,61716387.09677419,13392456000,4767590.903225807,1034567226.0
24,12.0,40.0,52.0,5,61716387.09677419,13392456000,1604626.064516129,348203856.0
24,12.0,40.0,52.0,10,61716387.09677419,13392456000,3209252.129032258,696407712.0
24,12.0,40.0,52.0,15,61716387.09677419,13392456000,4813878.193548387,1044611568.0
25,12.5,40.0,52.5,5,61716387.09677419,13392456000,1620055.1612903227,351551970.0
25,12.5,40.0,52.5,10,61716387.09677419,13392456000,3240110.3225806453,703103940.0
25,12.5,40.0,52.5,15,61716387.09677419,13392456000,4860165.483870967,1054655910.0
26,13.0,40.0,53.0,5,61716387.09677419,13392456000,1635484.2580645161,354900084.0
26,13.0,40.0,53.0,10,61716387.09677419,13392456000,3270968.5161290322,709800168.0
26,13.0,40.0,53.0,15,61716387.09677419,13392456000,4906452.774193549,1064700252.0
27,13.5,40.0,53.5,5,61716387.09677419,13392456000,1650913.3548387096,358248198.0
27,13.5,40.0,53.5,10,61716387.09677419,13392456000,3301826.709677419,716496396.0
27,13.5,40.0,53.5,15,61716387.09677419,13392456000,4952740.064516129,1074744594.0
28,14.0,40.0,54.0,5,61716387.09677419,13392456000,1666342.4516129033,361596312.0
28,14.0,40.0,54.0,10,61716387.09677419,13392456000,3332684.9032258065,723192624.0
28,14.0,40.0,54.0,15,61716387.09677419,13392456000,4999027.354838709,1084788936.0
29,14.5,40.0,54.5,5,61716387.09677419,13392456000,1681771.5483870967,364944426.0
29,14.5,40.0,54.5,10,61716387.09677419,13392456000,3363543.0967741935,729888852.0
29,14.5,40.0,54.5,15,61716387.09677419,13392456000,5045314.645161291,1094833278.0
30,15.0,40.0,55.0,5,61716387.09677419,13392456000,1697200.6451612904,368292540.0
30,15.0,40.0,55.0,10,61716387.09677419,13392456000,3394401.290322581,736585080.0
30,15.0,40.0,55.0,15,61716387.09677419,13392456000,5091601.935483871,1104877620.0
31,15.5,40.0,55.5,5,61716387.09677419,13392456000,1712629.7419354839,371640654.0
31,15.5,40.0,55.5,10,61716387.09677419,13392456000,3425259.4838709678,743281308.0
31,15.5,40.0,55.5,15,61716387.09677419,13392456000,5137889.225806451,1114921962.0
32,16.0,40.0,56.0,5,61716387.09677419,13392456000,1728058.8387096773,374988768.0
32,16.0,40.0,56.0,10,61716387.09677419,13392456000,3456117.6774193547,749977536.0
32,16.0,40.0,56.0,15,61716387.09677419,13392456000,5184176.516129033,1124966304.0
33,16.5,40.0,56.5,5,61716387.09677419,13392456000,1743487.935483871,378336882.0
33,16.5,40.0,56.5,10,61716387.09677419,13392456000,3486975.870967742,756673764.0
33,16.5,40.0,56.5,15,61716387.09677419,13392456000,5230463.806451613,1135010646.0
34,17.0,40.0,57.0,5,61716387.09677419,13392456000,1758917.0322580645,381684996.0
34,17.0,40.0,57.0,10,61716387.09677419,13392456000,3517834.064516129,763369992.0
34,17.0,40.0,57.0,15,61716387.09677419,13392456000,5276751.096774193,1145054988.0
35,17.5,40.0,57.5,5,61716387.09677419,13392456000,1774346.1290322582,385033110.0
35,17.5,40.0,57.5,10,61716387.09677419,13392456000,3548692.2580645164,770066220.0
35,17.5,40.0,57.5,15,61716387.09677419,13392456000,5323038.387096774,1155099330.0
36,18.0,40.0,58.0,5,61716387.09677419,13392456000,1789775.2258064516,388381224.0
36,18.0,40.0,58.0,10,61716387.09677419,13392456000,3579550.4516129033,776762448.0
36,18.0,40.0,58.0,15,61716387.09677419,13392456000,5369325.677419355,1165143672.0
37,18.5,40.0,58.5,5,61716387.09677419,13392456000,1805204.322580645,391729338.0
37,18.5,40.0,58.5,10,61716387.09677419,13392456000,3610408.64516129,783458676.0
37,18.5,40.0,58.5,15,61716387.09677419,13392456000,5415612.9677419355,1175188014.0
38,19.0,40.0,59.0,5,61716387.09677419,13392456000,1820633.4193548388,395077452.0
