currency,financial_statement_item,fs_item_description,consunit,cu_name,plant,plant_name,outlet,outlet_name,py,lfc,fc,plan,ytd_pm,ytd,ytd_plan,ytd_py,period,period_plan,period_py,period_1,period_2,period_3,period_4,period_5,period_6,period_7,period_8,period_9,period_10,period_11,period_12,division,bu,new_outlet,new_outlet_name
LC,300000000,Net income attributable to the shareholders of the parent,698,VT Korea,242,ICH Icheon,7851,PL MTC,-4064903.933,-5361388.007,-6553854.655,-19468744.716,-3519965.472,-3519965.472,-16838413.187,-7080665.827,0,-1262106.197,-776018.858,0,1303473.538,-881592.624,-2058398.9,-2000890.059,-1368255.458,2696974.104,-1001497.459,-209778.614,0,0,0,E,CT,7851,PL MTC
LC,300000000,Net income attributable to the shareholders of the parent,698,VT Korea,483,ICH Icheon NPF,732,PL DAC,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LC,300000000,Net income attributable to the shareholders of the parent,698,VT Korea,483,ICH Icheon NPF,781,PL ENC,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LC,300000000,Net income attributable to the shareholders of the parent,698,VT Korea,483,ICH Icheon NPF,7110,CGF,-56940.405,-8993.332,-8993.332,0.0,67549.498,67549.498,1262.637,604117.097,0,169.783,60415.036,0,-119320.07,-72014.596,34790.783,32113.747,-95242.032,73947.785,77939.109,135334.772,0,0,0,VT,VT,7110,CGF
LC,300000000,Net income attributable to the shareholders of the parent,698,VT Korea,483,ICH Icheon NPF,7210,DIV P C,0,-3909.871,-3909.871,-3304.817,182991.523,182991.523,-3304.817,0,0,0,0,0,122304.193,64028.382,65275.861,27704.748,-88467.56,-137015.333,72248.52,56912.712,0,0,0,P,Div,7210,DIV P C
LC,300000000,Net income attributable to the shareholders of the parent,698,VT Korea,483,ICH Icheon NPF,7220,DIV E C,12370349.131,-1890392.821,-1890392.821,-12818.136,-1376041.921,-1376041.921,-12818.136,6845362.793,0,0,184159.697,0,-1654517.315,79507.002,259954.166,74135.057,-51477.504,-129744.575,-42401.861,88503.109,0,0,0,E,Div,7220,DIV E C
LC,300000000,Net income attributable to the shareholders of the parent,698,VT Korea,483,ICH Icheon NPF,7221,DIV E Eng.,-368308.503,-1634652.835,3527948.49,8494110.5,-5583523.953,-5583523.953,7104715.628,-629514.5,0,694697.42,174170.205,0,-302175.012,-205361.795,341681.226,-1107099.88,-1622691.207,-739685.766,-1047416.492,-900775.027,0,0,0,E,Div,7221,DIV E Eng.
LC,300000000,Net income attributable to the shareholders of the parent,698,VT Korea,483,ICH Icheon NPF,7321,PL DAC,29454.035,926360.164,-1318824.343,-1045960.121,646872.949,646872.949,-963160.112,593521.817,0,-165879.996,76839.378,0,-89001.114,-24442.006,212465.217,-20970.408,-42754.132,-25981.017,767521.028,-129964.619,0,0,0,P,AC,7321,PL DAC
LC,300000000,Net income attributable to the shareholders of the parent,698,VT Korea,483,ICH Icheon NPF,7511,PL EES,0,4535.126,-812875.669,45700.536,42884.173,42884.173,37682.233,0,0,4009.159,0,0,-12209.61,-28490.244,4032.796,13440.914,-10373.27,16259.406,31987.587,28236.594,0,0,0,P,SC,7511,PL EES
LC,300000000,Net income attributable to the shareholders of the parent,698,VT Korea,483,ICH Icheon NPF,7521,PL MES,0,61206.524,-649541.362,44217.917,86109.304,86109.304,32225.878,0,0,4667.021,0,0,27399.281,-995.866,6203.025,10243.57,-5157.458,-3356.54,21793.129,29980.163,0,0,0,P,SC,7521,PL MES
