currency,financial_statement_item,fs_item_description,consunit,cu_name,plant,plant_name,outlet,outlet_name,py,lfc,fc,plan,ytd_pm,ytd,ytd_plan,ytd_py,period,period_plan,period_py,ytd_0,ytd_1,ytd_2,ytd_3,ytd_4,ytd_5,ytd_6,ytd_7,ytd_8,ytd_9,ytd_10,ytd_11,ytd_12,division,bu,new_outlet,new_outlet_name
LC,100000000,Total assets,698,VT Korea,9,none,7831,PL VBC,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E,CT,7831,PL VBC
LC,100000000,Total assets,698,VT Korea,9,none,7841,PL CEC,-213798.239,0.0,0.0,0.0,0.0,0.0,0.0,-73061.564,0,0.0,1380.431,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E,CT,7841,PL CEC
LC,100000000,Total assets,698,VT Korea,9,none,7851,PL MTC,-2810722.715,0.0,0.0,0.0,0.0,0.0,0.0,-3811329.736,0.0,0.0,1699336.221,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E,CT,7851,PL MTC
LC,100000000,Total assets,698,VT Korea,9,none,9999,Non-Operational,183103942.784,274833960.924,274833960.924,246679907.691,238003619.9,238003619.9,193393998.972,185206598.78,0.0,1036091.189,2249741.309,227081547.566,227081547.566,209091930.802,210923466.173,210717794.26,211086929.989,220495468.877,222448672.325,232101797.701,238003619.9,238003619.9,238003619.9,238003619.9,VT,VT,9999,Non-Operational
LC,100000000,Total assets,698,VT Korea,219,Sejong,7521,PL MES,11855863.505,4580597.769,3439470.253,3163431.465,5255424.414,5306214.074,3285496.588,12337339.691,50789.66,-64303.341,-804149.886,10376836.569,10376836.569,7913498.918,7528212.403,7210838.34,7060620.743,6781383.298,6428939.81,5852330.152,5255424.414,5306214.074,5306214.074,5306214.074,P,SC,7521,PL MES
LC,100000000,Total assets,698,VT Korea,219,Sejong,9999,Non-Operational,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VT,VT,9999,Non-Operational
LC,100000000,Total assets,698,VT Korea,242,ICH Icheon,732,PL DAC,-22059477.163,0,0,0.0,0,0,0.0,-35087046.151,0,0,-2171727.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LC,100000000,Total assets,698,VT Korea,242,ICH Icheon,781,PL ENC,-10930975.093,0,0,0.0,0,0,0.0,-14822267.839,0,0,6608603.171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LC,100000000,Total assets,698,VT Korea,242,ICH Icheon,7112,Spin-Off,0,-91608.805,-91608.805,0,-81983.649,-81983.649,0,0,0,0,0,0,0,0,0,0,0,0,0,8198.365,-81983.649,-81983.649,-81983.649,-81983.649,VT,VT,7112,Spin-Off 
LC,100000000,Total assets,698,VT Korea,242,ICH Icheon,7311,PL EAC,2876343.53,-845769.663,-847785.557,1505438.152,77507.775,168142.364,1746067.694,3905763.308,90634.589,-90029.48,-34933.555,2068176.39,2068176.391,1488050.346,1031495.943,875146.434,434830.319,165631.061,94604.588,-104879.302,77507.775,168142.364,168142.364,168142.364,P,AC,7311,PL EAC
LC,100000000,Total assets,698,VT Korea,242,ICH Icheon,7411,PL HYD,4358204.942,-102518.951,3128633.604,795231.797,787860.527,787860.527,928192.844,1192240.573,0.0,-5948.278,-470131.499,1235661.824,1235661.821,462870.011,513395.326,312793.668,-254243.751,-306235.069,-189388.443,216502.153,787860.527,787860.527,787860.527,787860.527,P,HT,7411,PL HYD
LC,100000000,Total assets,698,VT Korea,242,ICH Icheon,7431,PL CM CCN,70106109.348,59859770.501,67919233.327,63328095.876,76142434.546,76142434.546,64741375.256,68238708.209,0.0,-349814.89,1013030.742,66100454.303,66101144.948,69625909.186,71789168.567,72657042.742,70311993.316,71245717.729,71083025.585,70980193.921,76142434.546,76142434.546,76142434.546,76142434.546,P,HT,7431,PL CM CCN
LC,100000000,Total assets,698,VT Korea,242,ICH Icheon,7432,PL CM CVS,22547880.933,23509703.2,22671601.051,18193347.404,26645242.062,26645242.062,18686607.994,20493936.289,0.0,-176551.953,1297109.398,22508869.379,22508389.663,23105462.037,24143760.708,25690287.594,25914434.349,26145988.251,26510271.719,25815901.248,26645242.062,26645242.062,26645242.062,26645242.062,P,HT,7432,PL CM CVS
LC,100000000,Total assets,698,VT Korea,242,ICH Icheon,7436,PL CM PSS,45195643.858,20898906.832,27012520.253,13797141.415,39816965.927,39816965.927,18088592.044,41683104.257,0.0,-2083467.331,3523397.513,38321034.56,38320436.946,45872827.949,47487288.061,50200985.227,46913486.896,46913070.911,45599162.367,40227499.114,39816965.927,39816965.927,39816965.927,39816965.927,P,HT,7436,PL CM PSS
LC,100000000,Total assets,698,VT Korea,242,ICH Icheon,7521,PL MES,2433111.179,3718746.833,3293538.713,1164501.608,4720288.054,4954930.021,1545209.484,859949.064,234641.967,-109048.668,27465.151,2856016.305,2856016.305,3777805.266,3792659.098,4105773.995,3275502.576,3430844.702,3342848.237,3078049.133,4720288.054,4954930.021,4954930.021,4954930.021,P,SC,7521,PL MES
LC,100000000,Total assets,698,VT Korea,242,ICH Icheon,7611,PL AMT DIV P,4829.752,6972.551,6972.551,0.0,6972.551,6972.551,0.0,0.0,0,0,0.0,4829.752,4829.752,4829.752,6972.551,6972.551,6972.551,6972.551,6972.551,6972.551,6972.551,6972.551,6972.551,6972.551,0,0,0,0
LC,100000000,Total assets,698,VT Korea,242,ICH Icheon,7721,PL HVD,-13266557.279,14802523.38,20819523.649,-16283407.456,-5254001.025,-5253991.62,13425509.872,879255.116,9.405,-1925186.072,9599514.97,489679.037,489679.037,164420.637,-974603.057,-2126316.881,-2280474.357,-3103598.24,-3495311.866,-4476140.563,-5254001.025,-5253991.62,-5253991.62,-5253991.62,E,DS,7721,PL HVD
LC,100000000,Total assets,698,VT Korea,242,ICH Icheon,7811,PL ENC,81586548.11,86520694.411,84675909.715,26848103.612,77525457.53,78205572.087,28244262.748,71724330.929,680114.557,-622184.174,-141314.379,60989085.308,60989350.615,54596281.751,51267274.156,52009158.621,56190286.862,64389054.66,67384433.054,65363461.168,77525457.53,78205572.087,78205572.087,78205572.087,E,CT,7811,PL ENC
LC,100000000,Total assets,698,VT Korea,242,ICH Icheon,7821,PL DTC,56243177.073,33514055.046,33294781.052,17374260.887,36624265.965,34090117.609,21456053.502,60730770.087,-2534148.356,2588.707,4072350.525,19240187.088,19240308.177,22494218.393,23907693.173,24014868.191,25528491.234,28825943.333,30195808.468,30584168.845,36624265.965,34090117.609,34090117.609,34090117.609,E,CT,7821,PL DTC
LC,100000000,Total assets,698,VT Korea,242,ICH Icheon,7831,PL VBC,0,-3849491.83,-282551.166,-131408.803,-2399458.019,-2399458.019,-75004.045,0,0,-15542.325,0,72763.543,72763.543,3780.237,-6095.698,-22960.479,-513325.743,-1008336.61,-1353333.693,-1871105.564,-2399458.019,-2399458.019,-2399458.019,-2399458.019,E,CT,7831,PL VBC
LC,100000000,Total assets,698,VT Korea,242,ICH Icheon,7851,PL MTC,18959674.128,23077005.1,16882048.351,10085881.608,38812182.019,38812182.019,12670075.287,16931781.995,0.0,-1152295.548,48034.37,8469428.201,8469428.201,17012165.019,22124145.815,26545081.426,24484739.25,21083386.449,31058774.941,31554058.421,38812182.019,38812182.019,38812182.019,38812182.019,E,CT,7851,PL MTC
LC,100000000,Total assets,698,VT Korea,242,ICH Icheon,9999,Non-Operational,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VT,VT,9999,Non-Operational
LC,100000000,Total assets,698,VT Korea,483,ICH Icheon NPF,732,PL DAC,-2723363.521,0,0,0.0,0,0,0.0,-480816.639,0,0,1106690.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LC,100000000,Total assets,698,VT Korea,483,ICH Icheon NPF,781,PL ENC,-2862857.99,0,0,0.0,0,0,0.0,-978328.32,0,0,18484.505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LC,100000000,Total assets,698,VT Korea,483,ICH Icheon NPF,7110,CGF,632402.929,528206.783,528206.783,277114.162,1400172.347,1400172.347,336595.029,1565835.212,0,-28002.604,118799.13,634279.083,634279.515,866490.755,868568.049,528546.408,547051.899,568809.905,742450.105,1114153.785,1400172.347,1400172.347,1400172.347,1400172.347,VT,VT,7110,CGF
LC,100000000,Total assets,698,VT Korea,483,ICH Icheon NPF,7210,DIV P C,0,171655.579,168272.913,-2222.417,568312.744,568312.744,80932.743,0,0,-11584.907,0,173059.268,173059.268,485869.199,520800.788,386225.457,417936.064,411740.183,364146.9,447379.421,568312.744,568312.744,568312.744,568312.744,P,Div,7210,DIV P C
LC,100000000,Total assets,698,VT Korea,483,ICH Icheon NPF,7220,DIV E C,14117140.733,-130982.024,-139207.92,422276.753,793287.755,793287.755,624494.983,9512842.449,0,-28172.387,255518.131,1713359.711,1713360.13,565947.25,551232.525,197064.804,386527.718,454384.212,439478.529,536262.155,793287.755,793287.755,793287.755,793287.755,E,Div,7220,DIV E C
LC,100000000,Total assets,698,VT Korea,483,ICH Icheon NPF,7221,DIV E Eng.,4766991.962,3194092.839,8148267.78,8362359.149,-1145262.815,-1145262.815,8034889.822,2330725.804,0,602388.04,745879.189,4457928.971,4457928.971,4820281.912,3996787.452,3011562.187,2261545.559,1014836.165,229506.579,-680014.333,-1145262.815,-1145262.815,-1145262.815,-1145262.815,E,Div,7221,DIV E Eng.
LC,100000000,Total assets,698,VT Korea,483,ICH Icheon NPF,7321,PL DAC,969389.572,1084183.705,-1163557.188,-1014706.119,893917.788,893917.788,-825127.325,1016580.741,0,-180756.069,-237506.363,222223.829,222223.829,130259.275,128797.082,236954.774,199595.054,191575.79,165870.179,937532.381,893917.788,893917.788,893917.788,893917.788,P,AC,7321,PL DAC
LC,100000000,Total assets,698,VT Korea,483,ICH Icheon NPF,7431,PL CM CCN,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,P,HT,7431,PL CM CCN
LC,100000000,Total assets,698,VT Korea,483,ICH Icheon NPF,7511,PL EES,0,246606.375,-557188.657,46438.536,159200.39,159200.39,95116.933,0,0,-3889.641,0,117994.946,117994.946,110148.586,98126.988,41768.906,54831.358,62534.877,86909.18,114565.389,159200.39,159200.39,159200.39,159200.39,P,SC,7511,PL EES
LC,100000000,Total assets,698,VT Korea,483,ICH Icheon NPF,7521,PL MES,0,181947.988,-525907.386,44955.917,277894.357,277894.357,89660.578,0,0,-3231.779,0,117994.946,117994.946,131739.712,140913.177,101077.103,105928.514,105384.7,110840.441,140386.292,277894.357,277894.357,277894.357,277894.357,P,SC,7521,PL MES
